adm1_code,state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
,New Mexico,NM,Pertussis,43,35,148,64,198,100,155,91,137,200,78,158,196,147,74,94,85,144,273,924,613
,Utah,UT,Pertussis,45,37,37,26,29,297,58,47,78,115,127,276,618,779,387,242,220,352,645,1591,1308
,Wyoming,WY,Pertussis,2,0,1,8,7,8,2,4,1,11,130,35,53,83,24,18,22,12,13,62,75
USA-3563,Alaska,AK,Pertussis,5,0,1,3,16,15,5,21,16,7,67,14,159,91,89,277,59,45,27,353,317
USA-3521,California,CA,Pertussis,619,594,531,780,483,1085,1144,631,706,1120,1255,1109,3182,1749,590,534,869,7195,2319,795,2011
USA-3517,Hawaii,HI,Pertussis,14,19,61,35,19,26,51,41,42,30,12,30,183,87,19,20,46,67,59,73,50
,Oregon,OR,Pertussis,106,106,67,64,48,89,61,110,57,188,438,627,619,112,123,181,252,286,314,906,486
,Washington,WA,Pertussis,91,140,491,830,481,407,739,458,184,575,844,842,1047,377,482,460,291,607,962,4916,748
,USA,USA,Rubella,192,227,128,,,,,,,,,,,,,,,,,,
,Maine,ME,Rubella,1,0,0,,,,,,,,,,,,,,,,,,
,New Hampshire,NH,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Vermont,VT,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Massachusetts,MA,Rubella,9,126,,,,,,,,,,,,,,,,,,,
,Rhode Island,RI,Rubella,0,3,,,,,,,,,,,,,,,,,,,
USA-3537,Connecticut,CT,Rubella,0,3,,,,,,,,,,,,,,,,,,,
,New York,NY,Rubella,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,NJ,Rubella,15,1,,,,,,,,,,,,,,,,,,,
,Pennsylvania,PA,Rubella,5,0,,,,,,,,,,,,,,,,,,,
,Ohio,OH,Rubella,1,0,,,,,,,,,,,,,,,,,,,
USA-3547,Indiana,IN,Rubella,3,0,,,,,,,,,,,,,,,,,,,
USA-3546,Illinois,IL,Rubella,1,1,,,,,,,,,,,,,,,,,,,
,Michigan,MI,Rubella,2,9,,,,,,,,,,,,,,,,,,,
,Wisconsin,WI,Rubella,1,0,,,,,,,,,,,,,,,,,,,
,Minnesota,MN,Rubella,0,0,,,,,,,,,,,,,,,,,,,
USA-3529,Iowa,IA,Rubella,0,0,,,,,,,,,,,,,,,,,,,
,Missouri,MO,Rubella,1,2,,,,,,,,,,,,,,,,,,,
